ID,Number,From,To,WaitToBoard,TotalTime
457,2,0,4,17,61
458,5,0,5,14,68
453,4,1,5,34,75
455,6,2,0,93,114
454,2,1,0,108,118
460,3,0,4,3,28
459,3,1,0,48,58
461,4,0,1,3,16
464,3,0,2,0,26
463,4,0,3,1,38
465,1,1,5,11,50
466,6,1,5,11,50
469,2,3,5,28,43
470,2,2,1,61,71
462,3,1,0,90,101
468,2,1,0,76,87
467,2,0,2,92,107
474,2,0,1,9,20
471,3,0,2,14,36
475,3,1,3,21,41
473,1,5,0,57,93
472,4,1,0,82,93
477,3,0,1,1,12
478,2,0,1,1,12
476,1,0,5,3,40
479,6,0,2,29,45
480,1,2,5,47,67
481,2,2,1,19,29
487,6,1,0,12,25
488,6,1,0,8,21
483,4,0,2,42,59
482,3,0,4,43,82
485,4,3,5,63,84
484,2,3,1,103,118
489,4,5,4,24,36
491,2,5,4,23,35
493,2,5,0,19,62
495,2,1,0,47,57
490,4,0,1,68,82
492,4,0,3,66,96
496,2,0,4,59,100
494,4,0,5,61,112
497,3,0,1,141,153
498,4,0,5,140,177
504,4,3,0,3,36
499,1,2,0,25,47
500,3,1,0,34,46
501,5,1,0,34,46
503,4,1,4,53,80
502,5,3,4,72,83
139,3,3,4,75,-1
141,6,5,0,75,-1
142,5,5,0,75,-1
486,2,3,0,75,-1
